PollingPlaceID,Latitude,Longitude
8829,-35.3151000,149.1350000
64583,-35.2390037,149.0696950
65504,-35.2790544,149.1263791
11877,-35.4318000,149.0830000
11452,-35.4406700,149.1176000
8761,-35.3564000,149.0420000
8763,-35.4189000,149.1230000
58708,-35.2784167,149.1294692
31298,-35.4649000,149.0980000
8764,-35.3317000,149.0800000
8766,-35.3125000,149.1110000
30092,-35.2790990,149.1264040
8767,-35.3347000,149.0320000
8768,-35.4044000,149.1180000
8769,-35.3790000,149.1070000
8794,-35.3439760,149.1036890
8771,-35.4147000,149.1330000
12072,-35.4555000,149.0870000
8772,-35.4136000,149.1110000
8817,-35.3222000,149.1450000
8773,-35.3348000,149.0500000
8774,-35.3313000,149.0940000
8884,-35.4287000,149.0890000
8776,-35.3787349,149.0594796
8777,-35.3924756,149.0675370
8778,-35.3806000,149.0530000
8779,-35.3420000,149.0760000
8780,-35.3585000,149.0970000
8781,-35.4151000,149.0890000
8782,-35.3286000,149.1500000
65739,-29.0554757,167.9582119
32706,-29.0554565,167.9583398
8783,-35.3424000,149.2310000
65741,-35.3023460,149.1296210
8784,-35.3637000,149.0890000
8785,-35.3395000,149.1330000
8786,-35.4287000,149.1140000
46425,-35.3487000,149.0490000
8788,-35.5088000,149.0680000
11878,-35.4477000,149.1240000
32704,-35.4154414,149.0675718
8790,-35.3947000,149.0860000
8791,-35.3920000,149.0960000
8792,-35.3550000,149.0600000
8793,-35.3412000,149.0540000
32705,-35.3440580,149.0861740
8840,-35.3069000,149.1030000
8801,-35.2543000,149.1470000
8804,-35.2679100,149.1446400
38197,-35.1653000,149.1290000
8803,-35.2560000,149.0800000
8805,-35.2391000,149.0740000
32464,-35.2390933,149.0692118
65505,-35.2790544,149.1263791
65695,-35.1615786,149.1397655
8802,-35.2736300,149.1400100
12073,-35.2530000,149.0880000
8806,-35.2903000,149.1560000
8807,-35.2051000,149.0300000
8808,-35.2767018,149.1290814
32465,-35.2767018,149.1290814
8809,-35.2535000,149.1390000
30093,-35.2790544,149.1263791
8810,-35.2445000,149.1450000
8812,-35.2071000,149.0760000
8813,-35.2133000,149.0670000
8814,-35.2240000,149.0410000
65493,-35.1708975,149.1431810
34238,-35.1918000,149.0430000
8816,-35.2137000,149.0940000
34240,-35.1885000,149.1240000
38504,-35.1877185,149.1332841
8819,-35.1704000,149.0720000
47681,-35.1991300,149.1512900
8821,-35.2269400,149.0249700
8822,-35.1294000,150.7050000
8823,-35.2248000,149.1140000
8824,-35.2351000,149.1020000
8825,-35.2202000,149.0340000
8826,-35.2515000,149.1250000
8827,-35.2131000,149.0120000
8828,-35.2501000,149.0590000
8830,-35.2083000,149.0560000
32463,-35.1692000,149.1120000
34239,-35.1740000,149.1080000
32081,-35.1802000,149.1020000
38198,-35.2588600,149.1255100
8832,-35.2398000,149.0420000
31626,-35.1975000,149.1200000
65743,-35.3023460,149.1296210
8833,-35.2823000,149.1400000
8834,-35.2335000,149.0394200
8836,-35.2650000,149.1260000
8837,-35.2385000,149.1550000
8838,-35.2518000,149.0470000
8839,-35.1590000,150.6970000
31,-33.9767897,151.1148974
67,-33.9756000,151.1110000
56500,-33.9413000,151.0750000
2646,-33.9528000,151.0850000
46,-33.9814000,151.1130000
33,-33.9964550,151.1066889
65425,-33.9674459,151.1065776
56472,-33.9727000,151.1280000
65,-33.9763447,151.1206652
42,-33.9855000,151.1000000
30094,-33.9674459,151.1065776
2663,-33.9642000,151.1020000
34046,-33.9674648,151.1064743
2664,-33.9641000,151.1110000
45,-33.9744000,151.0920000
2665,-33.9544000,151.0960000
43,-33.9726000,151.0990000
4,-33.9850150,151.0454806
55,-33.9729046,151.0773353
56,-33.9727000,151.0810000
57,-33.9705000,151.0670000
5,-33.9615619,151.0731878
6,-33.9482000,151.0690000
58,-33.9847000,151.0810000
59,-33.9796000,151.0650000
7,-33.9542000,151.0310000
8,-33.9490000,151.0300000
9,-33.9473430,151.0258927
10,-33.9664348,151.0305364
16,-33.9553000,151.0610000
17,-33.9728147,151.0555257
18,-33.9616492,151.0489593
19,-33.9625909,151.0875342
60,-33.9641000,151.0870000
23,-33.9307000,151.0560000
24,-33.9542157,151.0166996
58722,-33.9513280,151.0152440
25,-33.9447000,151.0170000
3,-33.9459000,151.0580000
27,-33.9476795,151.0470880
28,-33.9524734,151.0532173
35,-33.9797000,151.1060000
14011,-33.8735000,151.2070000
32,-33.9380000,151.1440000
34,-33.9406000,151.1470000
2642,-33.9374000,151.1380000
2643,-33.9338000,151.1250000
2645,-33.9492000,151.0830000
2670,-33.9470000,151.0790000
2647,-33.9515000,151.1250000
2648,-33.9479000,151.1220000
2640,-33.9467000,151.1280000
2649,-33.9407000,151.1210000
34034,-33.9625000,151.1130000
2650,-33.9522000,151.1140000
65449,-33.9527866,151.1392016
38,-33.9627000,151.1480000
39,-33.9605000,151.1540000
2653,-33.9624000,151.1240000
47,-33.9727000,151.1280000
40,-33.9834000,151.1160000
2656,-33.9295100,151.1089700
30095,-33.9527866,151.1392016
2659,-33.9274000,151.1230000
2660,-33.9281000,151.1270000
2661,-33.9283000,151.1240000
65171,-33.9674486,151.1065459
2666,-33.9401000,151.1030000
2657,-33.9338500,151.0962100
2667,-33.9494000,151.1020000
48,-33.9666000,151.1320000
49,-33.9839000,151.1230000
50,-33.9616000,151.1360000
54,-33.9687000,151.1370000
71,-33.9607000,151.1420000
2654,-33.9641000,151.1310000
51,-33.9497000,151.1610000
56570,-33.9352000,151.0850000
65249,-33.9136880,151.1618520
52,-33.9730000,151.1450000
2662,-33.9383000,151.1090000
2672,-33.9182000,151.1230000
69,-33.9847000,151.1380000
61,-33.9820000,151.1440000
62,-33.9527000,151.1420000
63,-33.9537000,151.1390000
64,-33.9507000,151.1490000
33869,-33.9527404,151.1390926
2671,-33.9504000,151.1360000
41,-33.9991000,151.1390000
68,-33.9951000,151.1300000
37,-33.9900000,151.1330000
38392,-33.9659000,151.1340000
14014,-33.8735000,151.2070000
2641,-33.9319000,151.1450000
2673,-33.9244000,151.1390000
65453,-33.7981824,151.1818539
33930,-33.8212708,151.1352360
634,-33.7800229,151.0553219
65177,-33.7981824,151.1818539
638,-33.7924400,151.0835300
639,-33.7935000,151.0970000
656,-33.7960028,151.0909419
647,-33.8036000,151.0700000
30096,-33.7982897,151.1819191
79,-33.7943477,151.1093080
642,-33.7928000,151.0780000
80,-33.7817000,151.0960000
643,-33.7906000,151.0670000
644,-33.7745000,151.0790000
33945,-33.7741802,151.0817992
81,-33.7684080,151.0871472
645,-33.7628400,151.0737700
82,-33.7576000,151.0960000
11927,-33.7728471,151.0684506
33783,-33.8161262,151.0534399
2252,-33.8165270,151.0572843
2253,-33.8061000,151.0580000
84,-33.8323301,151.1259218
85,-33.8299400,151.1269900
87,-33.8228000,151.1280000
88,-33.8277117,151.1201395
92,-33.7864000,151.1090000
93,-33.8051163,151.1319848
98,-33.7797606,151.1149218
99,-33.7826250,151.1031960
75,-33.7703911,151.0996223
650,-33.8148423,151.0924377
33928,-33.8151000,151.0730000
33877,-33.8133913,151.1200494
8869,-33.8085000,151.1000000
102,-33.8249000,151.1110000
33926,-33.7654000,151.0530000
654,-33.8128000,151.1050000
104,-33.8060761,151.1117662
105,-33.8063669,151.1268905
655,-33.8178000,151.0980000
106,-33.7939000,151.1200000
657,-33.8240000,151.1060000
653,-33.8206739,151.1052190
14017,-33.8735000,151.2070000
34349,-33.8118000,151.1080000
107,-33.7947000,151.1300000
660,-33.8039765,151.1033893
661,-33.8087000,151.0850000
1822,-33.6687322,150.9522275
1823,-33.6231223,151.0520461
43686,-33.6855000,151.1120000
632,-33.7523233,151.0651663
117,-33.6181000,151.1470000
118,-33.6094008,151.1427318
1828,-33.5995109,151.1204538
65454,-33.7981824,151.1818539
120,-33.5481300,151.2153800
58669,-33.7309994,151.0079324
637,-33.7578000,151.0740000
11928,-33.7314000,151.0420000
34004,-33.7205638,151.0459716
1852,-33.7190356,151.0376017
11929,-33.7380934,151.0509109
121,-33.5885000,151.1690000
122,-33.5371646,151.2411149
30097,-33.7982897,151.1819191
11930,-33.6857000,151.0260000
11971,-33.7447000,151.0300000
1836,-33.6480000,151.0450000
1838,-33.7010000,151.0040000
1839,-33.5987000,151.0080000
1831,-33.6054902,150.9788283
123,-33.7000000,151.0970000
58578,-33.7043094,151.0974229
43688,-33.7064000,151.1020000
124,-33.6701870,151.0966482
126,-33.6833000,151.0980000
134,-33.7127637,151.0955118
128,-33.7044600,151.0971220
1842,-33.6654000,151.0040000
1788,-33.4593500,150.9944600
1789,-33.5234000,150.9440000
1846,-33.6444000,151.0230000
131,-33.6726000,151.1170000
132,-33.6575000,151.1360000
1850,-33.7658000,151.0390000
56575,-33.7237000,151.0980000
135,-33.7217700,151.0880800
33781,-33.7215140,151.0232634
136,-33.7328992,151.0614421
56586,-33.7142000,150.9930000
14020,-33.8735000,151.2070000
1855,-33.7459033,151.0501363
56576,-33.7282000,151.0850000
148,-33.7242000,151.0720000
33118,-33.7477183,151.0270559
33800,-33.3954535,150.9849427
2366,-33.8652000,151.0250000
56664,-33.8603000,151.0200000
31455,-33.9209000,151.0340000
33854,-33.9174263,151.0345525
155,-33.9192700,151.0366200
154,-33.9133000,151.0350000
157,-33.9054791,151.0386724
56630,-33.9309294,151.0385816
177,-33.9164000,151.0200000
159,-33.9047000,151.0060000
162,-33.8996000,150.9900000
2370,-33.8705000,151.0280000
2383,-33.8783000,151.0290000
2371,-33.8958000,151.0200000
2373,-33.8579000,151.0070000
2375,-33.8847939,151.0008561
160,-33.8873000,151.0010000
2376,-33.8737000,150.9960000
167,-33.9255000,151.0130000
33117,-33.9228609,151.0129563
168,-33.9311050,151.0216557
47792,-33.9236060,151.0029720
30098,-33.9168020,151.0308990
65264,-33.8681563,150.9560517
43752,-33.8751000,150.9610000
56666,-33.8409000,150.9760000
169,-33.9120805,150.9925655
46624,-33.8481385,151.0106418
2380,-33.8488183,150.9961068
2381,-33.8553985,150.9813992
2382,-33.8546727,150.9884935
2390,-33.8608949,150.9962856
2345,-33.8471000,150.9670000
65744,-33.8654090,151.0445030
56671,-33.8433000,150.9990000
2391,-33.8857110,151.0233680
2393,-33.8872000,151.0090000
32339,-33.8735000,151.2070000
2358,-33.8854807,150.9698132
2396,-33.8895000,150.9860000
2359,-33.8766000,150.9720000
180,-33.9056000,151.0250000
182,-33.9064000,151.0210000
2362,-33.8670000,150.9710000
115,-33.6855000,151.1120000
65455,-33.7981824,151.1818539
119,-33.7214000,151.1030000
58723,-33.7982897,151.1819191
2015,-33.7944700,151.1751900
56721,-33.7983058,151.1781717
30099,-33.7982897,151.1819191
194,-33.7567900,151.1525100
33948,-33.7549856,151.1523454
195,-33.7459209,151.1574345
196,-33.7601000,151.1390000
43833,-33.7000000,151.0970000
127,-33.7064000,151.1020000
33771,-33.7031000,151.1031200
198,-33.7662135,151.1645279
199,-33.7560824,151.1740076
129,-33.7565262,151.1131977
201,-33.7744800,151.1728200
202,-33.7681000,151.1840000
203,-33.7810600,151.1697200
204,-33.7746800,151.1455300
133,-33.7237000,151.0980000
206,-33.7395000,151.1370000
137,-33.7318390,151.1411654
207,-33.7639400,151.1235400
208,-33.7853513,151.1793831
209,-33.7795000,151.1950000
210,-33.7820000,151.1880000
2032,-33.7866080,151.1895499
211,-33.7291000,151.1604000
212,-33.7084749,151.1632003
213,-33.7187000,151.1640000
188,-33.7244300,151.1779400
214,-33.7403000,151.1670000
31029,-33.8735000,151.2070000
